Gender,Age,Income,Profession,Work_experience,Family_size
Male,19,15000,Healthcare,1,4
Male,21,35000,Engineer,3,3
Female,20,86000,Engineer,1,1
Female,23,59000,Lawyer,0,2
Female,31,38000,Entertainment,2,6
Female,22,58000,Artist,0,2
Female,35,31000,Healthcare,1,3
Female,23,84000,Healthcare,1,3
Male,64,97000,Engineer,0,3
Female,30,98000,Artist,1,4
Male,67,7000,Engineer,1,3
Female,35,93000,Healthcare,4,4
Female,58,80000,Executive,0,5
Female,24,91000,Lawyer,1,1
Male,37,19000,Doctor,0,1
Male,22,51000,Healthcare,1,2
Female,35,29000,Homemaker,9,5
Male,20,89000,Healthcare,1,6
Male,52,20000,Entertainment,1,4
Female,35,62000,Artist,0,1
Male,35,96000,Homemaker,12,1
Male,25,4000,Healthcare,3,4
Female,46,42000,Artist,13,2
Male,31,71000,Artist,5,2
Female,54,67000,Executive,1,3
Male,29,52000,Artist,1,3
Female,45,68000,Healthcare,9,8
Male,35,78000,Artist,1,3
Female,40,18000,Artist,0,1
Female,23,20000,Artist,5,4
Male,60,39000,Artist,0,3
Female,21,34000,Doctor,1,2
Male,53,59000,Healthcare,1,3
Male,18,62000,Homemaker,9,7
Female,49,91000,Lawyer,1,2
Female,21,95000,Healthcare,3,4
Female,42,14000,Doctor,5,1
Female,30,62000,Healthcare,1,5
Female,36,9000,Artist,8,2
Female,20,69000,Artist,8,2
Female,65,25000,Artist,4,1
Male,24,85000,Healthcare,0,2
Male,48,22000,Artist,14,3
Female,31,33000,Artist,1,2
Female,49,72000,Engineer,8,1
Female,24,3000,Lawyer,4,2
Female,50,52000,Artist,0,4
Female,27,71000,Healthcare,12,1
Female,29,78000,Healthcare,0,4
Female,31,25000,Engineer,1,1
Female,49,88000,Artist,1,2
Male,33,97000,Artist,1,2
Female,31,74000,Artist,1,1
Male,59,68000,Entertainment,0,2
Female,50,18000,Marketing,1,1
Male,47,95000,Artist,14,2
Female,51,71000,Healthcare,9,4
Male,69,8000,Doctor,8,2
Female,27,57000,Artist,1,3
Male,53,89000,Lawyer,1,6
Male,70,84000,Artist,0,2
Male,19,50000,Artist,9,2
Female,67,50000,Lawyer,0,3
Female,54,48000,Lawyer,1,2
Male,63,63000,Lawyer,7,2
Male,18,9000,Entertainment,0,2
Female,43,3000,Doctor,0,2
